City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,sabang,5.8933,95.3214,27.94,76,98,2.79,ID,1731258518
283,mentekab,3.4854,102.3484,24.41,99,100,0.95,MY,1731258519
284,luchegorsk,46.4764,134.2569,-1.31,75,5,3.45,RU,1731258281
285,sianow,54.2265,16.2913,3.95,67,0,2.7,PL,1731258521
286,goondiwindi,-28.55,150.3167,22.51,82,94,3.99,AU,1731258522
287,tshabong,-26.05,22.45,28.43,16,84,2.54,BW,1731258524
288,lubang,13.8584,120.124,28.54,79,100,6.18,PH,1731258526
289,celestun,20.8667,-90.4,29.18,70,99,3.21,MX,1731258527
290,onega,63.9061,38.1404,1.44,87,99,3.81,RU,1731258528
291,steinkjer,64.193,11.3851,3.63,88,95,0.84,NO,1731258529
292,phek,25.6667,94.5,12.8,98,26,0.61,IN,1731258530
293,bashmakovo,53.2133,43.0342,3.22,76,31,3.01,RU,1731258531
294,hasaki,35.7333,140.8333,17.6,88,100,2.97,JP,1731258532
295,acapulco de juarez,16.8634,-99.8901,30.9,74,40,1.03,MX,1731258490
296,juan griego,11.0817,-63.9655,32.07,66,45,5.66,VE,1731258534
297,kongsberg,59.6652,9.6465,3.44,92,100,1.14,NO,1731258535
298,sao joao da barra,-21.6403,-41.0511,26.05,65,100,7.61,BR,1731258536
299,nuku'alofa,-21.1333,-175.2,23.19,88,40,3.6,TO,1731258537
300,pauini,-7.7136,-66.9764,32.23,54,100,1.25,BR,1731258264
301,mitrofanovka,49.9708,39.6939,4.3,89,100,2.05,RU,1731258539
302,san ignacio de velasco,-16.3667,-60.95,34.87,36,39,4.09,BO,1731258540
303,katabu,-4.9333,122.5167,24.04,95,56,1.49,ID,1731258541
304,new norfolk,-42.7826,147.0587,8.29,99,8,1.45,AU,1731258543
305,belokurikha,51.9959,84.9896,3.41,58,100,10.53,RU,1731258544
306,sola,-13.8833,167.55,26.44,78,93,9.02,VU,1731258545
307,swakopmund,-22.6833,14.5333,17.77,76,89,4.47,,1731258546
308,luancheng,37.8792,114.6517,11.39,75,7,1.87,CN,1731258547
309,aasiaat,68.7098,-52.8699,-6.77,90,100,1.14,GL,1731258548
310,kingston,17.997,-76.7936,30.09,78,52,2.9,JM,1731258506
311,narayanpet,16.7333,77.5,22.87,59,14,3.99,IN,1731258550
312,timbuktu,16.7735,-3.0074,31.03,10,74,5.36,ML,1731258551
313,lerwick,60.1545,-1.1494,10.13,82,100,7.58,GB,1731258552
314,princeville,45.7668,-61.2985,5.35,71,100,7.72,CA,1731258553
315,paulinia,-22.7611,-47.1542,27.52,59,0,1.84,BR,1731258554
316,homer,59.6425,-151.5483,3.94,75,100,4.63,US,1731258555
317,touros,-5.1989,-35.4608,28.53,60,73,6.69,BR,1731258556
318,nova sintra,14.8667,-24.7167,26.96,73,100,6.56,CV,1731258557
319,manglaur,29.8,77.8667,21.27,58,0,2.26,IN,1731258558
320,mbandaka,0.0487,18.2603,21.54,92,100,1.16,CD,1731258559
321,lucas,41.6501,-83.6666,15.05,94,100,3.6,US,1731258560
322,gamba,-2.65,10.0,25.61,82,43,2.9,GA,1731258561
323,tamanrasset,22.785,5.5228,21.95,17,0,5.66,DZ,1731258562
324,gisborne,-38.6533,178.0042,18.15,72,42,5.38,NZ,1731258563
325,murgab,37.4966,61.9714,10.79,53,0,2.92,TM,1731258564
326,burgersdorp,-30.9977,26.3286,15.93,74,70,4.45,ZA,1731258566
327,sao miguel do araguaia,-13.275,-50.1628,29.92,62,92,0.99,BR,1731258567
328,gejiu,23.306,103.1635,11.53,92,16,0.73,CN,1731258568
329,zheleznodorozhnyy,55.7503,38.0042,2.75,87,19,2.03,RU,1731258569
330,mount pearl,47.5166,-52.7813,2.86,72,100,6.26,CA,1731258570
331,six-fours-les-plages,43.0938,5.84,16.92,72,100,2.16,FR,1731258571
332,coyhaique,-45.5752,-72.0662,9.76,76,100,1.97,CL,1731258326
333,rawson,-43.3002,-65.1023,21.16,16,0,7.2,AR,1731258573
334,orange cove,36.6244,-119.3137,23.87,21,29,0.86,US,1731258574
335,kalifornsky,60.4183,-151.29,3.55,74,20,4.63,US,1731258575
336,magadan,59.5667,150.8,-11.9,64,100,5.94,RU,1731258576
337,belmonte,-15.8631,-38.8828,22.8,96,97,7.68,BR,1731258577
338,sanming,26.2486,117.6186,19.18,96,100,1.17,CN,1731258578
339,le port,-20.9373,55.2919,25.98,98,20,2.0,RE,1731258579
340,port moresby,-9.4431,147.1797,23.92,93,93,1.78,PG,1731258580
341,tanout,14.9709,8.8879,25.53,17,6,4.29,NE,1731258581
342,oodweyne,9.4092,45.064,21.63,49,9,5.86,SO,1731258582
343,kanniyakumari,8.0833,77.5667,27.55,67,11,1.7,IN,1731258583
344,thunder bay,48.4001,-89.3168,5.99,93,100,1.54,CA,1731258390
345,mulchen,-37.7167,-72.2333,16.67,40,61,2.5,CL,1731258585
346,ankazoabo,-22.2833,44.5167,28.05,51,85,1.01,MG,1731258586
347,gizo,-8.103,156.8419,27.44,77,78,2.27,SB,1731258587
348,dolores,-36.3132,-57.6792,28.76,37,97,3.09,AR,1731258588
349,antofagasta,-23.65,-70.4,19.6,68,8,3.58,CL,1731258387
350,brazzaville,-4.2658,15.2832,22.44,91,100,0.24,CG,1731258590
351,cidreira,-30.1811,-50.2056,21.59,63,0,7.43,BR,1731258591
352,agadez,19.75,10.25,22.46,21,0,3.11,NE,1731258410
353,mezhdurechenskiy,59.6,65.9333,-6.81,74,80,6.07,RU,1731258594
354,kapuskasing,49.4169,-82.4331,6.05,81,100,3.6,CA,1731258361
355,jaisalmer,26.9147,70.9181,28.41,22,0,3.95,IN,1731258496
356,balnearia,-31.0088,-62.6673,35.28,22,9,5.45,AR,1731258427
357,alto barinas,8.5931,-70.2261,25.99,79,100,3.55,VE,1731258598
358,borogontsy,62.6683,131.1683,-22.7,100,96,0.64,RU,1731258599
359,minas de marcona,-15.2119,-75.1103,21.14,53,23,4.92,PE,1731258600
360,ar ruways,24.1103,52.7306,26.07,56,2,2.49,AE,1731258601
